paperId,title,year,citationCount,cites_per_year,subfield,fieldsOfStudy,doi,landmark,abstract
W2103179919,Real-Time Computing Without Stable States: A New Framework for Neural Computation Based on Perturbations,2002,3975,165.62,Physical & Hardware RC,Computer Science; Physical Sciences,https://doi.org/10.1162/089976602760407955,,A key challenge for neural modeling is to explain how a continuous stream of multimodal input from a rapidly changing environment can be processed by stereotypical recurrent circuits of integrate-and-fire neurons in real time. We propose a new computational model for real-time computing on time-vary
W1540454497,"The ""Liquid Computer"": A Novel Strategy for Real-Time Computing on Time Series",2002,124,5.17,Neuroscience & Comp. Neuro,Computer Science; Physical Sciences,,,"We will discuss in this survey article a new framework for analysing computations on time series and in particular on spike trains, introduced in (Maass et. al. 2002). In contrast to common computational models this new framework does not require that information can be stored in some stable states "
W2162338462,Purification and characterization of native spliceosomes suitable for three-dimensional structural analysis,2002,370,15.42,General RC / ESN Methods,"Biochemistry, Genetics and Molecular Biology; Life Sciences",https://doi.org/10.1017/s1355838202021088,,"We describe characterization of spliceosomes affinity purified under native conditions. These spliceosomes consist largely of C complex containing splicing intermediates. After C complex assembly on an MS2 affinity-tagged pre-mRNA substrate containing a 3' splice site mutation, followed by RNase H d"
W1964221434,"DIMENSION CHANGE, COARSE GRAINED CODING AND PATTERN RECOGNITION IN SPATIO-TEMPORAL NONLINEAR SYSTEMS",2003,1,0.04,Nonlinear Dynamics & Chaos,Neuroscience; Life Sciences,https://doi.org/10.1142/s0219635203000160,,"Several research programs employing spatio-temporal recurrent dynamics and changes in dimensionality have extended the dialog on neural computation and coding beyond classical frameworks such as feed forward and attractor neural networks and feature detectors. Some have emphasized spiking networks, "
W1508379405,Identification of motion with echo state network,2004,68,3.09,Control & Robotics,Computer Science; Physical Sciences,https://doi.org/10.1109/oceans.2004.1405751,,"Echo State Networks (ESNs) use a recurrent artificial neural network as a reservoir. Finding a good one depends on choosing the right parameters for the generation of the reservoir, intuition and luck. The method proposed in this article eliminates the need for the tuning by hand by replacing it wit"
W2118706537,Harnessing Nonlinearity: Predicting Chaotic Systems and Saving Energy in Wireless Communication,2004,3737,169.86,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.1126/science.1091277,,"We present a method for learning nonlinear systems, echo state networks (ESNs). ESNs employ artificial recurrent neural networks in a way that has recently been proposed independently as a learning mechanism in biological brains. The learning method is computationally efficient and easy to use. On a"
W1537758823,Echo State Networks for Mobile Robot Modeling and Control,2004,43,1.95,Control & Robotics,Computer Science; Physical Sciences,https://doi.org/10.1007/978-3-540-25940-4_14,,
W1572357197,Echo State Networks and Self-Prediction,2004,25,1.14,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1007/978-3-540-27835-1_4,,
W76611476,Finding good Echo State Networks to control an underwater robot using evolutionary computations,2004,14,0.64,Control & Robotics,Computer Science; Physical Sciences,https://doi.org/10.1016/s1474-6670(17)31978-x,,
W2145763129,Optimization of parameters of echo state network and its application to underwater robot,2004,11,0.5,Control & Robotics,Computer Science; Physical Sciences,https://doi.org/10.11499/sicep.2004.0_13_5,,"Echo state networks (ESNs) use a recurrent artificial neural network as a reservoir. Finding a good one depends on choosing the right parameters for the generation of the reservoir, intuition and luck. The method proposed in this article eliminates the need for the tuning by hand by replacing it wit"
W2525330211,Echo state networks for mobile robot modeling and control,2004,4,0.18,Control & Robotics,Computer Science; Physical Sciences,,,Applications of recurrent neural networks (RNNs) tend to be rare because training is difficult. A recent theoretical breakthrough [Jae01b] called Echo State Networks (ESNs) has made RNN training easy and fast and makes RNNs a versatile tool for many problems. The key idea is training the output weig
W174365584,A Parameter Optimizing Method for Echo State Network and Its Application to Underwater Robot,2004,4,0.18,Control & Robotics,Computer Science; Physical Sciences,https://doi.org/10.1299/jsmermd.2004.114_2,,
W2061735626,Turbine Engine Modeling Using Temporal Neural Networks for Incipient Fault Detection and Diagnosis,2004,3,0.14,General RC / ESN Methods,Engineering; Physical Sciences,https://doi.org/10.1115/gt2004-53649,,We present a method of fault detection and diagnosis in turbine engines using temporal neural networks. Temporal neural networks allow us to represent the complete engine operating range by complementing the first-principle models which are usually restricted to takeoff and cruise phases. Because fa
W2095240468,Liquid state machine built of Hodgkin–Huxley neurons and pattern recognition,2004,27,1.23,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1016/j.neucom.2004.01.051,,
W1812346962,Liquid State Machine Built of Hodgkin–Huxley Neurons,2004,14,0.64,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.15388/informatica.2004.044,,"Neural networks built of Hodgkin–Huxley neurons were examined. These structures behaved like Liquid State Machines (LSM). They could effectively process different input signals (i.e., Morse alphabet) into precisely defined output. It is also shown that there is a possibility of logical gates creatio"
W4249572736,Liquid state machine built of Hodgkin?Huxley neurons and pattern recognition,2004,2,0.09,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1016/s0925-2312(04)00047-5,,
W2188701193,The Liquid State Machine - A Biologically Realistic Model of the Brain,2004,0,0.0,General RC / ESN Methods,Computer Science; Physical Sciences,,,
W2144349547,Decoding a Temporal Population Code,2004,18,0.82,Neuroscience & Comp. Neuro,Neuroscience; Life Sciences,https://doi.org/10.1162/0899766041732459,,Encoding of sensory events in internal states of the brain requires that this information can be decoded by other neural structures. The encoding of sensory events can involve both the spatial organization of neuronal activity and its temporal dynamics. Here we investigate the issue of decoding in t
W167630518,Far-from-equilibrium computation,2004,3,0.14,Physical & Hardware RC,Physics and Astronomy; Physical Sciences,,,"We study the possibility of developing far-from-equilibrium computational systems, in analogy with corresponding self-organizing physical systems. We review the computational models developed in analogy with physical systems converging towards equilibrium and the research related to the self-organiz"
W2581161559,Reservoir Computing with Stochastic Bitstream Neurons,2005,35,1.67,Physical & Hardware RC,Computer Science; Physical Sciences,,,"Reservoir Computing (RC) [6], [5], [9] is a computational framework with powerful properties and several interesting advantages compared to conventional techniques for pattern recognition. It consists essentially of two parts: a recurrently connected network of simple interacting nodes (the reservoi"
W1979856704,Modeling reward functions for incomplete state representations via echo state networks,2005,43,2.05,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.1109/ijcnn.2005.1556402,,"This paper investigates an echo state network (ESN) (Jaeger, 2001 and Maass and Markram, 2002) architecture as the approximation of the Q-function for temporally dependent rewards embedded in a linear dynamical system, the mass-spring-damper (MSD). This problem has been solved utilizing feed-forward"
W1943730788,Learning Mappings in Brain Machine Interfaces with Echo State Networks,2005,31,1.48,Neuroscience & Comp. Neuro,Neuroscience; Life Sciences,https://doi.org/10.1109/icassp.2005.1416283,,Brain machine interfaces (BMI) utilize linear or non-linear models to map the neural activity to the associated behavior which is typically the 2D or 3D hand position of a primate. Linear models are plagued by the massive disparity of the input and output dimensions thereby leading to poor generaliz
W1525627159,Short Term Memory and Pattern Matching with Simple Echo State Networks,2005,24,1.14,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1007/11550822_3,,
W1669737173,A multiple objective optimization based echo state network tree and application to intrusion detection,2005,16,0.76,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1109/iwvdvt.2005.1504645,,"Echo state network tree (ESNTree) is proposed in this paper. ESNTree changes the activation function of the hidden layer and modifies the initialization method of echo state network (ESN). If the number of input features is too large, genetic algorithm is used to extract better features. Thus the co"
W2542527458,Multi-step forecasting using echo state networks,2005,9,0.43,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.1109/eurcon.2005.1630268,,"Echo state networks (ESNs) have been recently proposed as a special class of recurrent neural networks (RNNs), which help to avoid the possibility of vanishing gradient associated with RNNs, and also computational less complex. Online training of ESNs has previously been implemented using an RLS-typ"
W2144573561,Modeling Reward Functions for Incomplete State Representations via Echo State Networks (Invited Paper),2005,0,0.0,General RC / ESN Methods,Computer Science; Physical Sciences,,,
W2751213832,Echo State Networkを持ったBrain Machine Interfaceにおけるマッピングの学習,2005,0,0.0,General RC / ESN Methods,Computer Science; Physical Sciences,,,
W2128530219,Approximately periodic time series and nonlinear structures,2005,6,0.29,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.5075/epfl-thesis-3113,,"In this thesis a previously developed framework for modelling diversity of approximately periodic time series is considered. In this framework the diversity is modelled deterministically, exploiting the irregularity of chaos. This is an alternative to other well established frameworks which use prob"
W1986964674,Isolated word recognition with the Liquid State Machine: a case study,2005,262,12.48,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1016/j.ipl.2005.05.019,,
W1517009156,Isolated word recognition using a Liquid State Machine,2005,44,2.1,Neuroscience & Comp. Neuro,Computer Science; Physical Sciences,,,An implementation of the recently proposed concept of the Liquid State Machine using a Spiking Neural Network (SNN) is trained to perform isolated word recognition. We investigate two di#erent speech front ends and di#erent ways of coding the inputs into spike trains. The robustness against noise ad
W1506346904,Movement Prediction from Real-World Images Using a Liquid State Machine,2005,14,0.67,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1007/11504894_19,,
W198025502,Recognition of Isolated Digits using a Liquid State Machine,2005,4,0.19,Neuroscience & Comp. Neuro,Computer Science; Physical Sciences,,,"The Liquid State Machine (LSM) is a recently developed computational model [1] with interesting properties. It can be used for pattern classification, function approximation and other complex tasks. Contrary to most common computational models, the LSM does not require information to be stored in so"
W3013682396,Isolated word recognition with the Liquid State Machine,2005,3,0.14,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.5555/1195930.1710920,,"The Liquid State Machine (LSM) is a recently developed computational model with interesting properties. It can be used for pattern classification, function approximation and other complex tasks. Co..."
W1571105366,Time Invariance and Liquid State Machines,2005,2,0.1,Signal Processing & Comms,Computer Science; Physical Sciences,,,"Time invariant recognition of spatiotemporal patterns is a common task of signal processing. Liquid state machines (LSMs) are a paradigm which robustly handle this type of classification. Using an artificial dataset with target pattern lengths ranging from 0.1 to 1.0 seconds, we train an LSM to find"
W51118639,Time-Varying Signals Classification Using a Liquid State Machine,2005,3,0.14,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1007/1-4020-3432-6_16,,
W2544463227,Computation within cultured neural networks,2005,4,0.19,Nonlinear Dynamics & Chaos,Neuroscience; Life Sciences,https://doi.org/10.1109/iembs.2004.1404491,,In this paper we present three related areas of research we are pursuing to study neural computation in vitro. Rat cortical neurons cultured on 60 channel multielectrode array (MEA) allow the researcher to measure from and stimulate sixty different sites across a small population of neurons grown in
W2341900418,The unified Reservoir Computing concept and its digital hardware implementations,2006,6,0.3,General RC / ESN Methods,Computer Science; Physical Sciences,,,"that computes many random nonlinear combinations of the current and past inputs, with a finite memory. The memoryless readout function is then able to linearly combine this information to compute the actual output. The three methods cited above all take a different approach towards the idea of using"
W2792058680,On implementing reservoir computing,2006,1,0.05,General RC / ESN Methods,Computer Science; Physical Sciences,,,
W2805325810,An experimental comparison of reservoir computing methods,2006,1,0.05,General RC / ESN Methods,Computer Science; Physical Sciences,,,
W2781362739,Speech recognition using reservoir computing,2006,0,0.0,Signal Processing & Comms,Computer Science; Physical Sciences,,,
W2029967456,Analysis and Design of Echo State Networks,2006,309,15.45,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1162/neco.2007.19.1.111,,"The design of echo state network (ESN) parameters relies on the selection of the maximum eigenvalue of the linearized system around zero (spectral radius). However, this procedure does not quantify in a systematic manner the performance of the ESN in terms of approximation error. This article presen"
W1601254443,Echo state networks: appeal and challenges,2006,74,3.7,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1109/ijcnn.2005.1556091,,The echo state network (ESN) has recently been proposed for modeling complex dynamic systems. The ESN is a sparsely connected recurrent neural network with most of its weights fixed a priori to randomly chosen values. The only trainable weights are those on links connected to the outputs. The ESN ca
W1523400967,Reservoir riddles: suggestions for echo state network research (extended abstract),2006,95,4.75,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.1109/ijcnn.2005.1556090,,"Echo state networks (ESNs) offer a simple learning algorithm for dynamical systems. It works by training linear readout neurons that combine the signals from a random, fixed, excitable ""dynamical reservoir"" network. Often the method works beautifully, sometimes it works poorly - and we do not really"
W2131294854,Echo State Networks used for Motor Control,2006,75,3.75,Control & Robotics,Computer Science; Physical Sciences,https://doi.org/10.1109/robot.2005.1570399,,This paper applies a new kind of recurrent neu ral networks (RNN) called Echo State Networks (ESN) [4] to the classical problem of motor speed control for a differential drive robot. ESNs can be trained orders of magnitude faster than other RNNs and previous simulation-based investigations showed pr
W2123850191,Reinforcement Learning with Echo State Networks,2006,62,3.1,Control & Robotics,Computer Science; Physical Sciences,https://doi.org/10.1007/11840817_86,,
W2946539735,Time Warping Invariant Echo State Networks,2006,38,1.9,General RC / ESN Methods,Computer Science; Physical Sciences,,,Echo State Networks (ESNs) is a recent simple and powerful approach to training recurrent neural networks (RNNs). In this report we present a modification of ESNs - time warping invariant echo state networks (TWIESNs) that can effectively deal with time warping in dynamic pattern recognition. The st
W1949131963,Critical Echo State Networks,2006,23,1.15,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1007/11840817_69,,
W1902688491,Minimum mean squared error time series classification using an echo state network prediction model,2006,61,3.05,Signal Processing & Comms,Computer Science; Physical Sciences,https://doi.org/10.1109/iscas.2006.1693294,,"The echo state network (ESN) has been recently proposed as an alternative recurrent neural network model. An ESN consists of a reservoir of conventional processing elements, which are recurrently interconnected with untrained random weights, and a readout layer, which is trained using linear regress"
W1590711701,Direct adaptive control: an echo state network and genetic algorithm approach,2006,37,1.85,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.1109/ijcnn.2005.1556095,,"This paper presents a direct adaptive approach to design controllers for nonlinear dynamical systems, where system identification of the unknown dynamical system is not required. The solution is powered by both echo state network (ESN) and genetic algorithm (GA). ESN enables a simple modeling of the"
W1890493774,Strong Systematicity in Sentence Processing by an Echo State Network,2006,22,1.1,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1007/11840817_53,,
W1514460679,Feed-forward echo state networks,2006,17,0.85,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.1109/ijcnn.2005.1556094,,New method for modeling nonlinear systems called the echo state networks (ESNs) has been proposed recently by H. Jaeger and H. Haas (2004). ESNs make use of the dynamics created by huge randomly created layer of recurrent units. Dynamical behavior of untrained recurrent networks was already explaine
W2102019174,Harnessing Non-linearity by Sigmoid-wavelet Hybrid Echo State Networks (SWHESN),2006,19,0.95,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.1109/wcica.2006.1712919,,"We propose one efficient method to improve the performance of Echo State Network (ESN) when as chaotic predictor. ESN is one special Recurrent Neural Network (RNN) with great nonlinear dynamic feature and facile training process, outperforms the previously best techniques applied on chaotic predicti"
W2801473747,Critical echo state networks,2006,6,0.3,General RC / ESN Methods,Arts and Humanities; Social Sciences,,,
W2117788424,Complex Systems Modeling Using Scale-Free Highly-Clustered Echo State Network,2006,12,0.6,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1109/ijcnn.2006.247295,,"Inspired by the universal laws governing different kinds of complex networks, we propose a scale-free highly-clustered echo state network (SHESN). Different from echo state network (ESN), the state reservoir of the SHESN is generated by natural growth rules and eventually forms a complex network wit"
W1814454247,Gait Analysis of Autistic Children with Echo State Networks,2006,7,0.35,General RC / ESN Methods,Computer Science; Physical Sciences,,,"This work addresses the problem of classification of multi-modal time-dependent signals, namely the gait motion of autistic and normal children, using the reservoir-based paradigm of Echo-State Networks. Introduction. Many studies suggest that human movements are controlled and organized not as a re"
W2151945215,Echo State Networks for Determining Harmonic Contributions from Nonlinear Loads,2006,8,0.4,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1109/ijcnn.2006.246639,,This paper investigates the application of a new kind of recurrent neural network called echo state networks (ESNs) for the problem of measuring the actual amount of harmonic current injected into a power network by a nonlinear load. The interaction between loads connected to a point of common coupl
W1518086831,Analyzing the state space property of echo state networks for chaotic system prediction,2006,7,0.35,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.1109/ijcnn.2005.1556081,,"For chaotic system prediction, ESNs (echo state networks) are realization of neural state reconstruction, in which the reconstructed state variable is from the internal neurons' activation, rather than the delay vector obtained from delay coordinate reconstruction. In the framework of the neural sta"
W1992353065,Guaranteed Locally-Stable Macromodels of Digital Devices via Echo State Networks,2006,6,0.3,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1109/epep.2006.321192,,The assessment of signal integrity effects in high-speed digital systems requires accurate and efficient IC macromodels. The proposed methodology is based on parametric relations that are expressed in terms of discrete-time Echo State Networks. This approach overcomes the stability limitations of tr
W144386880,Generating exponentially many periodic attractors with linearly growing Echo State Networks,2006,6,0.3,Photonics & Optics,Computer Science; Physical Sciences,,,"When a human listens to a novel piece of music, wherein a reasonably short motif (likewise novel to the listener) is repeated twice, the human is able to (1) detect this fact, (2) continue to reproduce the motif periodically. A similar phenomenon is iterated phone number rehearsal to keep a phone nu"
W4255103033,Echo State Networks for Determining Harmonic Contributions from Nonlinear Loads,2006,4,0.2,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1109/ijcnn.2006.1716312,,This paper investigates the application of a new kind of recurrent neural network called echo state networks (ESNs) for the problem of measuring the actual amount of harmonic current injected into a power network by a nonlinear load. The interaction between loads connected to a point of common coupl
W2128904261,A tighter bound for the echo state property,2006,156,7.8,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1109/tnn.2006.872357,,This letter provides a brief explanation of echo state networks (ESNs) and provides a rigorous bound for guaranteeing asymptotic stability of these networks. The stability bounds presented here could aid in the design of echo state networks that would be applicable to control applications where stab
W4244686434,Complex Systems Modeling Using Scale-Free Highly-Clustered Echo State Network,2006,2,0.1,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1109/ijcnn.2006.1716524,,"Inspired by the universal laws governing different kinds of complex networks, we propose a scale-free highly-clustered echo state network (SHESN). Different from echo state network (ESN), the state reservoir of the SHESN is generated by natural growth rules and eventually forms a complex network wit"
W2164891816,Reservoir-based techniques for speech recognition,2006,117,5.85,Mathematics & Theory,Computer Science; Physical Sciences,https://doi.org/10.1109/ijcnn.2006.246804,,"A solution for the slow convergence of most learning rules for Recurrent Neural Networks (RNN) has been proposed under the terms Liquid State Machines (LSM) and Echo State Networks (ESN). These methods use a RNN as a reservoir that is not trained. For this article we build upon previous work, where "
W4232949929,Reservoir-based techniques for speech recognition,2006,27,1.35,Mathematics & Theory,Computer Science; Physical Sciences,https://doi.org/10.1109/ijcnn.2006.1716215,,"A solution for the slow convergence of most learning rules for Recurrent Neural Networks (RNN) has been proposed under the terms Liquid State Machines (LSM) and Echo State Networks (ESN). These methods use a RNN as a reservoir that is not trained. For this article we build upon previous work, where "
W2109523733,Computing with transiently stable states,2006,18,0.9,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.1109/ijcnn.2005.1556092,,"Stability is an essential constraint in the design of linear dynamical systems. Similar stability restrictions on nonlinear dynamical systems, such as echo state network, have been enforced in order to use them for reliable computation. In this paper we introduce a novel computational mode for nonli"
W2124162693,Link Quality and Signal-to-Noise Ratio in 802.11 WLAN with Fading: A Time-Series Analysis,2006,21,1.05,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.1109/vtcf.2006.450,,It is known that for multipath fading channels individual points or average signal-to-noise ratio (SNR) alone do not adequately describe the wireless channel quality. This paper uses time-series modeling to investigate the relationship between SNR and 802.11 link bandwidth which we use to define the
W2169589062,Comparing Different Recurrent Neural Architectures on a Specific Task from Vanishing Gradient Effect Perspective,2006,8,0.4,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1109/icnsc.2006.1673176,,"The objective of this paper is to compare the performances of different Recurrent Neural systems when applied to a specific task, namely the latching problem. It is a benchmark for evaluating the impact of the Vanishing Gradient effect, arising when the Neural Network under study is trained through "
W2801766553,Strong systematicity in sentence processing by an Echo State Network,2006,0,0.0,General RC / ESN Methods,Arts and Humanities; Social Sciences,,,
W4245555600,Call for Papers 2007: Echo State Networks and Liquid State Machines,2006,0,0.0,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1016/j.neunet.2005.12.001,,
W2152083412,System and method for determining harmonic contributions from nonlinear loads in power systems,2006,18,0.9,General RC / ESN Methods,Engineering; Physical Sciences,,,The objective of this research is to introduce a neural network based solution for the problem of measuring the actual amount of harmonic current injected into a power network by an individual nonlinear load. Harmonic currents from nonlinear loads propagate through the system and cause harmonic poll
W2138952627,Spatiotemporal Pattern Recognition via Liquid State Machines,2006,52,2.6,Neuroscience & Comp. Neuro,Computer Science; Physical Sciences,https://doi.org/10.1109/ijcnn.2006.246880,,"The applicability of complex networks of spiking neurons as a general purpose machine learning technique remains open. Building on previous work using macroscopic exploration of the parameter space of an (artificial) neural microcircuit, we investigate the possibility of using a liquid state machine"
W1995682068,Movement prediction from real-world images using a liquid state machine,2006,49,2.45,General RC / ESN Methods,Engineering; Physical Sciences,https://doi.org/10.1007/s10489-006-0007-1,,
W2125486261,Preparing More Effective Liquid State Machines Using Hebbian Learning,2006,39,1.95,Signal Processing & Comms,Computer Science; Physical Sciences,https://doi.org/10.1109/ijcnn.2006.246996,,"In liquid state machines, separation is a critical attribute of the liquid - which is traditionally not trained. The effects of using Hebbian learning in the liquid to improve separation are investigated in this paper. When presented with random input, Hebbian learning does not dramatically change s"
W4250448179,Spatiotemporal Pattern Recognition via Liquid State Machines,2006,21,1.05,Neuroscience & Comp. Neuro,Computer Science; Physical Sciences,https://doi.org/10.1109/ijcnn.2006.1716628,,"The applicability of complex networks of spiking neurons as a general purpose machine learning technique remains open. Building on previous work using macroscopic exploration of the parameter space of an (artificial) neural microcircuit, we investigate the possibility of using a liquid state machine"
W4242634627,Preparing More Effective Liquid State Machines Using Hebbian Learning,2006,11,0.55,Signal Processing & Comms,Computer Science; Physical Sciences,https://doi.org/10.1109/ijcnn.2006.1716685,,"In liquid state machines, separation is a critical attribute of the liquid - which is traditionally not trained. The effects of using Hebbian learning in the liquid to improve separation are investigated in this paper. When presented with random input, Hebbian learning does not dramatically change s"
W1571103035,Liquid State Machine by Spatially Coupled Oscillators,2006,2,0.1,Nonlinear Dynamics & Chaos,Computer Science; Physical Sciences,https://doi.org/10.1007/11881070_130,,
W2522696714,Musical Instrument Classification using Democratic Liquid State Machines,2006,2,0.1,Neuroscience & Comp. Neuro,Computer Science; Physical Sciences,,,"The Liquid State Machine (LSM) is a relatively new recurrent neural network architecture, in which a static recurrent spiking neural network referred to as a ‘liquid ’ and a trainable read-out network are combined to tackle time-series data. In this paper we describe the Democratic Liquid State Mach"
W1593738344,Towards the modeling of dissociated cortical tissue in the liquid state machine framework,2006,1,0.05,Neuroscience & Comp. Neuro,Neuroscience; Life Sciences,https://doi.org/10.1109/ijcnn.2005.1556238,,"Understanding biological information processing systems is key in overcoming the limitations of traditional engineered systems. The advent of the liquid state machine (LSM) as a computational model for cortical processing, as well as the ability to experiment with dissociated cortical tissue (DCT) c"
W2539902836,"Introduction to spiking neural networks, liquid state machines and their hardware implementations",2006,0,0.0,Neuroscience & Comp. Neuro,Engineering; Physical Sciences,,,
W12277440,"An overview of reservoir computing: theory, applications and implementations",2007,328,17.26,General RC / ESN Methods,Computer Science; Physical Sciences,,,"Abstract. Training recurrent neural networks is hard. Recently it has however been discovered that it is possible to just construct a random recurrent topology, and only train a single linear readout layer. State-ofthe-art performance can easily be achieved with this setup, called Reservoir Computin"
W2036451492,An experimental unification of reservoir computing methods,2007,1113,58.58,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1016/j.neunet.2007.04.003,,
W1517692491,"The Introduction of Time-Scales in Reservoir Computing, Applied to Isolated Digits Recognition",2007,169,8.89,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1007/978-3-540-74690-4_48,,
W2066540100,Generative Modeling of Autonomous Robots and their Environments using Reservoir Computing,2007,45,2.37,Control & Robotics,Computer Science; Physical Sciences,https://doi.org/10.1007/s11063-007-9054-9,,
W1665215014,Event Detection and Localization in Mobile Robot Navigation Using Reservoir Computing,2007,19,1.0,Control & Robotics,Computer Science; Physical Sciences,https://doi.org/10.1007/978-3-540-74695-9_68,,
W2129631641,A Photonic Implementation of Reservoir Computing,2007,1,0.05,Photonics & Optics,Computer Science; Physical Sciences,,,"Reservoir Computing [1] is a new approach to study and use Neural Networks, which try to mimic a brain-like intelligence. It uses memory and feedback in the reservoir to address more complex classification and recognition tasks as extracting time correlated features in problems like speech processin"
W2613098410,"The introduction of time-scales in Reservoir Computing, applied to isolated digits recognition",2007,1,0.05,General RC / ESN Methods,Computer Science; Physical Sciences,,,
W2941795809,Overview of Reservoir Recipes,2007,30,1.58,General RC / ESN Methods,Computer Science; Physical Sciences,,,"Echo State Networks (ESNs) and Liquid State Machines (LSMs) introduced a simple new paradigm in artificial recurrent neural network (RNN) training, where an RNN (the reservoir) is generated randomly and only a readout is trained. The paradigm, becoming known as reservoir computing, made RNNs accessi"
W84802447,Spraakherkenning met Reservoir Computing,2007,0,0.0,Signal Processing & Comms,Computer Science; Physical Sciences,,,"Reservoir Computing (RC) is a novel research area, in which a untrained recurrent network of nodes is used for the classification of temporal patterns. For this contribution, RC is used to study the recognition of isolated digits and we will investigate those parameters which have the greatest influ"
W190383267,Several ways to solve the MSO problem.,2007,11,0.58,General RC / ESN Methods,Computer Science; Physical Sciences,,,"The so called MSO-problem, – a simple superposition of two or more sinusoidal waves –, has recently been discussed as a benchmark problem for reservoir computing and was shown to be not learnable by standard echo state regression. However, we show that are at least three simple ways to learn the MSO"
W2004931090,Coupling of Replica Exchange Simulations to a Non-Boltzmann Structure Reservoir,2007,92,4.84,Mathematics & Theory,"Biochemistry, Genetics and Molecular Biology; Life Sciences",https://doi.org/10.1021/jp068335b,,"Computing converged ensemble properties remains challenging for large biomolecules. Replica exchange molecular dynamics (REMD) can significantly increase the efficiency of conformational sampling by using high temperatures to escape kinetic traps. Several groups, including ours, introduced the idea "
W8595301,A first attempt of reservoir pruning for classification problems,2007,8,0.42,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1136/bmj.312.7030.577,,"Abstract. Reservoir Computing is a new paradigm to use artificial neural networks. Despite its promising performances, it has still some drawbacks: as the reservoir is created randomly, it needs to be large enough to be able to capture all the features of the data. We propose here a method to start "
W2120458865,Comparison of Echo State Networks with Simple Recurrent Networks and Variable-Length Markov Models on Symbolic Sequences,2007,13,0.68,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1007/978-3-540-74690-4_63,,
W2131249591,Collective Behavior of a Small-World Recurrent Neural System With Scale-Free Distribution,2007,128,6.74,Photonics & Optics,Computer Science; Physical Sciences,https://doi.org/10.1109/tnn.2007.894082,,"This paper proposes a scale-free highly clustered echo state network (SHESN). We designed the SHESN to include a naturally evolving state reservoir according to incremental growth rules that account for the following features: (1) short characteristic path length, (2) high clustering coefficient, (3"
W2615231074,Event detection and localization in mobile robot navigation using reservoir computing,2007,0,0.0,Control & Robotics,Computer Science; Physical Sciences,,,
W2001263627,Optimization and applications of echo state networks with leaky- integrator neurons,2007,914,48.11,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1016/j.neunet.2007.04.016,,
W2054217036,Echo state network,2007,449,23.63,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.4249/scholarpedia.2330,,
W2022175477,Decoupled echo state networks with lateral inhibition,2007,190,10.0,General RC / ESN Methods,Computer Science; Physical Sciences,https://doi.org/10.1016/j.neunet.2007.04.014,,
